Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Reason,Edge Chromium 118,,,2023-10-30 17:00:58,2023-10-30 17:01:33,34.801s,FAILED
,,,,,,,
Test Cases/User Session/dinamicLoginNexchief,Edge Chromium 118,,,2023-10-30 17:00:58,2023-10-30 17:01:15,17.255s,PASSED
handleSession = new testCase.handleSession(),Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.020s,PASSED
handleComponent = new component.handleComponent(),Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.004s,PASSED
username = username,Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.004s,PASSED
password = password,Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.000s,PASSED
principalId = principalId,Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.000s,PASSED
URL = nexchief2Url,Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:00:59,0.110s,PASSED
handleSession.initLogin(URL),Edge Chromium 118,,,2023-10-30 17:00:59,2023-10-30 17:01:06,7.330s,PASSED
"usernameObject = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/input_Selamat Datang_username"")",Edge Chromium 118,,,2023-10-30 17:01:06,2023-10-30 17:01:07,0.220s,PASSED
"passwordObject = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/input_Selamat Datang_password"")",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:07,0.140s,PASSED
"buttonLogin = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/button_Masuk"")",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:07,0.108s,PASSED
"loginDeniedLabel = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/div_Login Denied"")",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:07,0.109s,PASSED
"buttonKickUser = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/button_Yes, Logout"")",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:07,0.134s,PASSED
"principalSchemaObject = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/principalId"")",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:07,0.135s,PASSED
"handleComponent.setInputValue(usernameObject, username)",Edge Chromium 118,,,2023-10-30 17:01:07,2023-10-30 17:01:10,2.253s,PASSED
"handleComponent.setInputValue(passwordObject, password)",Edge Chromium 118,,,2023-10-30 17:01:10,2023-10-30 17:01:11,1.702s,PASSED
handleComponent.singleClickComponent(buttonLogin),Edge Chromium 118,,,2023-10-30 17:01:11,2023-10-30 17:01:12,0.870s,PASSED
"if (verifyElementPresent(loginDeniedLabel, 1, OPTIONAL))",Edge Chromium 118,,,2023-10-30 17:01:12,2023-10-30 17:01:15,2.499s,PASSED
"handleComponent.singleClickComponentByText(principalSchemaObject, principalId)",Edge Chromium 118,,,2023-10-30 17:01:15,2023-10-30 17:01:15,0.830s,PASSED
,,,,,,,
Test Cases/Setup.Setup.Reason/addReasonPositifCase,Edge Chromium 118,,,2023-10-30 17:01:15,2023-10-30 17:01:32,16.116s,FAILED
handleComponent = new component.handleComponent(),Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.001s,PASSED
reasonCode = reasonCode,Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.000s,PASSED
reasonName = reasonName,Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.000s,PASSED
reasonCategory = reasonCategory,Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.004s,PASSED
reasonRevisitBySalesco = reasonRevisitBySalesco,Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.000s,PASSED
reasonMenu = java.net.URL,Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.000s,PASSED
"buttonAdd = findTestObject(""Object Repository/Setup.Setup.Reason/button_add_reason"")",Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.100s,PASSED
"inputReasonCode = findTestObject(""Object Repository/Setup.Setup.Reason/input_reason_code"")",Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.104s,PASSED
"inputReasonName = findTestObject(""Object Repository/Setup.Setup.Reason/input_reason_name"")",Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:16,0.114s,PASSED
"selectReasonCategory = findTestObject(""Object Repository/Setup.Setup.Reason/select_reason_category"")",Edge Chromium 118,,,2023-10-30 17:01:16,2023-10-30 17:01:17,0.081s,PASSED
"selectReasonCategoryItem = findTestObject(""Object Repository/Setup.Setup.Reason/select_reason_category_item"")",Edge Chromium 118,,,2023-10-30 17:01:17,2023-10-30 17:01:17,0.111s,PASSED
"toggleRevisitBySalesco = findTestObject(""Object Repository/Setup.Setup.Reason/toggle_revisit_by_salesco"")",Edge Chromium 118,,,2023-10-30 17:01:17,2023-10-30 17:01:17,0.108s,PASSED
"buttonCancel = findTestObject(""Object Repository/Setup.Setup.Reason/button_cancel"")",Edge Chromium 118,,,2023-10-30 17:01:17,2023-10-30 17:01:17,0.094s,PASSED
"buttonSave = findTestObject(""Object Repository/Setup.Setup.Reason/button_save"")",Edge Chromium 118,,,2023-10-30 17:01:17,2023-10-30 17:01:17,0.086s,PASSED
handleComponent.navigateToMenuByUrl(reasonMenu),Edge Chromium 118,,,2023-10-30 17:01:17,2023-10-30 17:01:18,0.579s,PASSED
handleComponent.singleClickComponent(buttonAdd),Edge Chromium 118,,,2023-10-30 17:01:18,2023-10-30 17:01:32,14.043s,FAILED
,,,,,,,
Test Cases/User Session/dinamicLogoutNexchief,Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:33,1.008s,FAILED
handleSession = new testCase.handleSession(),Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.000s,PASSED
handleComponent = new component.handleComponent(),Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.000s,PASSED
principalId = principalId,Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.000s,PASSED
"buttonDoor = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/button_door_logout"")",Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.109s,PASSED
"buttonLogout = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/button_logout_from_nexchief"")",Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.083s,PASSED
"buttonBackToPortal = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/button_back_to_portal"")",Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:32,0.094s,PASSED
"principalSchemaObject = findTestObject(""Object Repository/Login.NDI/Page_Nexchief/principalId"")",Edge Chromium 118,,,2023-10-30 17:01:32,2023-10-30 17:01:33,0.105s,PASSED
handleComponent.singleClickComponent(buttonDoor),Edge Chromium 118,,,2023-10-30 17:01:33,2023-10-30 17:01:33,0.051s,FAILED
